[ 1755.780957] [Pid: 2753], CPUburst: 661066, rt_priority:10
[ 1755.794408] [Pid: 2754], CPUburst: 13453120, rt_priority:10
[ 1755.802598] [Pid: 2755], CPUburst: 8189646, rt_priority:10
[ 1755.815093] [Pid: 2754], CPUburst: 12495323, rt_priority:10
[ 1755.826505] [Pid: 2755], CPUburst: 11410079, rt_priority:10
[ 1755.838481] [Pid: 2754], CPUburst: 11975560, rt_priority:10
[ 1755.850817] [Pid: 2755], CPUburst: 12338178, rt_priority:10
[ 1755.862529] [Pid: 2754], CPUburst: 11711795, rt_priority:10
[ 1755.875214] [Pid: 2755], CPUburst: 12685613, rt_priority:10
[ 1755.886783] [Pid: 2754], CPUburst: 11569596, rt_priority:10
[ 1755.899477] [Pid: 2755], CPUburst: 12692454, rt_priority:10
[ 1755.910383] [Pid: 2754], CPUburst: 10906166, rt_priority:10
[ 1755.922564] [Pid: 2755], CPUburst: 12180208, rt_priority:10
[ 1755.934511] [Pid: 2754], CPUburst: 11946962, rt_priority:10
[ 1755.946810] [Pid: 2755], CPUburst: 12300939, rt_priority:10
[ 1755.958841] [Pid: 2754], CPUburst: 12031127, rt_priority:10
[ 1755.970732] [Pid: 2755], CPUburst: 11889460, rt_priority:10
[ 1755.983269] [Pid: 2754], CPUburst: 12538350, rt_priority:10
[ 1755.994549] [Pid: 2755], CPUburst: 11278812, rt_priority:10
[ 1756.007162] [Pid: 2754], CPUburst: 12612587, rt_priority:10
[ 1756.018375] [Pid: 2755], CPUburst: 11212002, rt_priority:10
[ 1756.030315] [Pid: 2754], CPUburst: 11942029, rt_priority:10
[ 1756.043192] [Pid: 2755], CPUburst: 12876317, rt_priority:10
[ 1756.054998] [Pid: 2754], CPUburst: 11804857, rt_priority:10
[ 1756.066694] [Pid: 2755], CPUburst: 11698352, rt_priority:10
[ 1756.078362] [Pid: 2754], CPUburst: 11668140, rt_priority:10
[ 1756.091034] [Pid: 2755], CPUburst: 12672283, rt_priority:10
[ 1756.102692] [Pid: 2754], CPUburst: 11656948, rt_priority:10
[ 1756.114299] [Pid: 2755], CPUburst: 11604891, rt_priority:10
[ 1756.126278] [Pid: 2754], CPUburst: 11980334, rt_priority:10
[ 1756.150564] [Pid: 2755], CPUburst: 24284295, rt_priority:10
[ 1756.162977] [Pid: 2754], CPUburst: 12415836, rt_priority:10
[ 1756.174788] [Pid: 2755], CPUburst: 11811680, rt_priority:10
[ 1756.186343] [Pid: 2754], CPUburst: 11554798, rt_priority:10
